OID_,src_GEOID10,nbr_GEOID10,LENGTH,NODE_COUNT
44005,421014220,421014217,359.434407667781898,0
44006,421014220,421014219,121.068240308562054,0
44007,421014220,421014221,283.442549125703806,0
44008,421014220,421014224,194.492670426815778,0
44009,421014220,421014225,0.000000000000000,1
44010,421014221,421014217,247.008726764762145,0
44011,421014221,421014220,283.442549125703806,0
44012,421014221,421014224,0.000000000000000,1
44013,421014221,421014225,247.184991612703811,0
44014,421014221,421014909,280.945232709286870,0
44015,421014221,421016101,0.000000000000000,1
44016,421014222,421014202,1024.677951375831299,0
44017,421014222,421014205,185.344148320116290,0
44018,421014222,421014206,113.399370504349790,0
44019,421014222,421014223,927.252189343314512,0
44020,421014222,42101709,252.714071597639105,0
44021,421014222,42101710,0.000000000000000,1
44022,421014223,421013301,425.308226338247721,0
44023,421014223,421013312,0.000000000000000,1
44024,421014223,421014201,716.405562573311954,0
44025,421014223,421014205,162.715057435635231,0
44026,421014223,421014222,927.252189343314512,0
44027,421014223,42101709,0.000000000000000,1
44028,421014223,42101710,629.865359033086634,0
44029,421014224,421014219,627.657270304857548,0
44030,421014224,421014220,194.492670426815778,0
44031,421014224,421014221,0.000000000000000,1
44032,421014224,421014225,404.186567359403398,0
44033,421014224,421016104,327.366754468404110,0
44034,421014224,421016105,326.868637070597572,0
44035,421014225,421014220,0.000000000000000,1
44036,421014225,421014221,247.184991612703811,0
44037,421014225,421014224,404.186567359403398,0
44038,421014225,421014909,0.000000000000000,1
44039,421014225,421016101,407.043227736636709,0
44040,421014225,421016102,0.000000000000000,1
44041,421014225,421016103,161.130715840953769,0
44042,421014225,421016104,87.806792700361470,0
44043,421014301,421011313,0.000000000000000,1
44044,421014301,421011315,316.642622992566771,0
44045,421014301,421011316,180.814510375576390,0
44046,421014301,421014302,168.215403998651766,0
44047,421014301,421014303,167.135985123811224,0
44048,421014301,421014304,179.531105115469018,0
44049,421014301,421014305,178.685431309149919,0
44050,421014301,421014308,145.215607122812401,0
44051,421014301,421014324,649.684906705550702,0
44052,421014301,421014325,139.260351453244567,0
44053,421014301,421014901,99.921052547672588,0
44054,421014301,421014903,0.000000000000000,1
44055,421014301,421014905,685.200401011480153,0
44056,421014302,421014204,0.000000000000000,1
44057,421014302,421014301,168.215403998651766,0
44058,421014302,421014303,728.339658870609810,0
44059,421014302,421014306,60.293239462507934,0
44060,421014302,421014901,526.391331462370886,0
44061,421014302,42101708,513.548194050762390,0
44062,421014303,421014301,167.135985123811224,0
44063,421014303,421014302,728.339658870609810,0
44064,421014303,421014304,341.860796386665868,0
44065,421014303,421014306,289.319497284053227,0
44066,421014304,421014301,179.531105115469018,0
44067,421014304,421014303,341.860796386665868,0
44068,421014304,421014305,343.086698779079143,0
44069,421014304,421014306,180.107866891627054,0
44070,421014305,421014301,178.685431309149919,0
44071,421014305,421014304,343.086698779079143,0
44072,421014305,421014306,178.721354804773654,0
44073,421014305,421014307,297.353643360545561,0
44074,421014305,421014308,44.104408552970028,0
44075,421014306,421014302,60.293239462507934,0
44076,421014306,421014303,289.319497284053227,0
44077,421014306,421014304,180.107866891627054,0
44078,421014306,421014305,178.721354804773654,0
44079,421014306,421014307,276.291794603263781,0
44080,421014306,421014318,58.730013331795028,0
44081,421014306,42101707,0.000000000000000,1
44082,421014306,42101708,345.915797910713934,0
44083,421014307,421014305,297.353643360545561,0
44084,421014307,421014306,276.291794603263781,0
44085,421014307,421014308,390.392591298635921,0
44086,421014307,421014318,183.029756928497193,0
44087,421014308,421014301,145.215607122812401,0
44088,421014308,421014305,44.104408552970028,0
44089,421014308,421014307,390.392591298635921,0
44090,421014308,421014318,169.579388020800593,0
44091,421014308,421014319,270.330238366603567,0
44092,421014308,421014325,191.483092918048357,0
44093,421014309,421011103,0.000000000000000,1
44094,421014309,421011104,348.768048942412975,0
44095,421014309,421014310,413.355195031447408,0
44096,421014309,421014313,366.394494864196474,0
44097,421014309,421014314,312.055038336551320,0
44098,421014310,421011101,0.000000000000000,1
44099,421014310,421011103,436.151441482154496,0
44100,421014310,421011104,0.000000000000000,1
44101,421014310,421013710,575.109213147762375,0
44102,421014310,421013721,0.000000000000000,1
44103,421014310,421014309,413.355195031447408,0
44104,421014310,421014313,118.301123036544254,0
44105,421014311,421011901,208.267784442312120,0
44106,421014311,421011902,0.000000000000000,1
44107,421014311,421013716,238.480631106117585,0
44108,421014311,421014312,511.456590461144458,0
44109,421014311,421014313,592.274959107949257,0
44110,421014311,421014316,0.000000000000000,1
44111,421014311,42101707,74.112447971478119,0
44112,421014312,421014311,511.456590461144458,0
44113,421014312,421014313,0.000000000000000,1
44114,421014312,421014316,168.012156612926958,0
44115,421014312,421014317,509.515423156821100,0
44116,421014312,42101707,168.931345060337662,0
44117,421014313,421013710,0.000000000000000,1
44118,421014313,421013716,130.054387921288566,0
44119,421014313,421013721,372.817591506168299,0
44120,421014313,421014309,366.394494864196474,0
44121,421014313,421014310,118.301123036544254,0
44122,421014313,421014311,592.274959107949257,0
44123,421014313,421014312,0.000000000000000,1
44124,421014313,421014314,168.954451549532280,0
44125,421014313,421014315,147.097492007993026,0
44126,421014313,421014316,272.536334790119270,0
44127,421014314,421011104,334.697553719393341,0
44128,421014314,421011323,0.000000000000000,1
